# 
# Barbour and Crowell (2016)
# Regression biases estimated by linear mixed-effects regression (lme)
# 
# 	'LME'		the lmer identifier
# 	'Effect'	the random effect identifier (group)
# 	'Term'		the identifier within the random effect group (e.g., station name or earthquake ID)
# 	'Bias'		fixed mean bias estimate
# 	'Std.error'	standard error associated with 'Bias' from the conditional covariance matrix
#  
 LME                    Effect     Term         Bias       Std.error
 Station                Station    B928         -0.419     0.0676   
 Station                Station    B012         -0.371     0.0656   
 Station                Station    B035         -0.364     0.0339   
 Station                Station    B927         -0.364     0.0676   
 Station                Station    B926         -0.339     0.0697   
 Station                Station    B003         -0.338     0.0676   
 Station                Station    B006         -0.312     0.0697   
 Station                Station    B036         -0.298     0.0363   
 Station                Station    B009         -0.282     0.0697   
 Station                Station    B935         -0.28      0.0446   
 Station                Station    B014         -0.224     0.0656   
 Station                Station    B039         -0.214     0.04     
 Station                Station    B026         -0.203     0.0324   
 Station                Station    B005         -0.187     0.0676   
 Station                Station    B011         -0.179     0.0656   
 Station                Station    B032         -0.166     0.0339   
 Station                Station    B031         -0.16      0.0329   
 Station                Station    B004         -0.157     0.0656   
 Station                Station    B040         -0.152     0.0391   
 Station                Station    B028         -0.151     0.0376   
 Station                Station    B010         -0.14      0.0697   
 Station                Station    B933         -0.138     0.0434   
 Station                Station    B007         -0.133     0.0676   
 Station                Station    B018         -0.129     0.0722   
 Station                Station    B204         -0.122     0.133    
 Station                Station    B934         -0.119     0.0503   
 Station                Station    B033         -0.112     0.0387   
 Station                Station    B023         -0.105     0.0577   
 Station                Station    B943         -0.0995    0.0749   
 Station                Station    B027         -0.083     0.0376   
 Station                Station    B941         -0.0654    0.109    
 Station                Station    B013         -0.0626    0.0722   
 Station                Station    B001         -0.0608    0.0656   
 Station                Station    B054         -0.0594    0.059    
 Station                Station    B030         -0.0581    0.0384   
 Station                Station    B022         -0.0516    0.0318   
 Station                Station    B017         -0.0497    0.0656   
 Station                Station    B024         -0.0284    0.0396   
 Station                Station    B057         -0.00702   0.0577   
 Station                Station    B201         -0.00271   0.152    
 Station                Station    B058          0.00409   0.062    
 Station                Station    B020          0.0285    0.0434   
 Station                Station    B202          0.0294    0.184    
 Station                Station    B045          0.0325    0.0465   
 Station                Station    B203          0.0822    0.101    
 Station                Station    B065          0.0897    0.0637   
 Station                Station    B084          0.103     0.0487   
 Station                Station    B067          0.152     0.0637   
 Station                Station    B019          0.161     0.0479   
