#  
 Earthquake   C1.code.eq Oceanic.crust
 2004.025_5.4 A1          TRUE        
 2004.197_5.7 A1          TRUE        
 2004.201_6.3 A1          TRUE        
 2004.307_5.0 A0          TRUE        
 2004.307_5.1 A0          TRUE        
 2004.307_5.2 A1          TRUE        
 2004.307_6.6 A0          TRUE        
 2004.357_5.1 A0          TRUE        
 2005.059_4.9 A0          TRUE        
 2005.059_5.0 A0          TRUE        
 2005.060_5.0 A0          TRUE        
 2005.066_5.2 A0          TRUE        
 2005.066_5.3 A0          TRUE        
 2005.166_7.2 A0          TRUE        
 2005.168_6.6 A1          TRUE        
 2005.170_4.9 A1          TRUE        
 2005.323_5.3 A0          TRUE        
 2006.011_5.5 A0          TRUE        
 2006.081_5.0 A1          TRUE        
 2006.084_5.0 A0          TRUE        
 2006.084_5.1 A0          TRUE        
 2006.147_4.9 A0          TRUE        
 2006.243_4.8 A0          TRUE        
 2006.290_4.9 A1          TRUE        
 2007.031_4.6 A0          TRUE        
 2007.031_4.8 A0          TRUE        
 2007.042_5.0 A0          TRUE        
 2007.045_5.2 A0          TRUE        
 2007.119_4.8 A0          TRUE        
 2007.129_5.4 A1          TRUE        
 2007.208_5.2 A0          TRUE        
 2007.208_5.3 A0          TRUE        
 2007.283_5.0 A0          TRUE        
 2007.323_5.0 A0          TRUE        
 2007.323_5.8 A0          TRUE        
 2007.345_4.9 A1          TRUE        
 2008.010_6.3 A0          TRUE        
 2008.075_5.7 A0          TRUE        
 2008.093_5.2 A0          TRUE        
 2008.101_5.3 A0          TRUE        
 2008.103_5.5 A0          TRUE        
 2008.105_5.1 A0          TRUE        
 2008.118_5.2 A0          TRUE        
 2008.125_5.1 A0          TRUE        
 2008.145_5.1 A0          TRUE        
 2008.154_5.2 A1          TRUE        
 2008.166_5.2 A1          TRUE        
 2008.181_5.4 A0          TRUE        
 2008.194_5.0 A1          TRUE        
 2008.199_5.0 A0          TRUE        
 2008.199_5.2 A0          TRUE        
 2008.199_5.4 A0          TRUE        
 2008.199_5.7 A0          TRUE        
 2008.201_5.0 A0          TRUE        
 2008.238_5.1 A0          TRUE        
 2008.255_5.1 A0          TRUE        
 2008.255_5.2 A0          TRUE        
 2008.319_5.3 A0          TRUE        
 2008.333_5.9 A1          TRUE        
 2008.360_5.8 A0          TRUE        
 2009.106_5.0 A1          TRUE        
 2009.241_4.8 A0          TRUE        
 2009.241_5.0 A0          TRUE        
 2009.241_5.1 A0          TRUE        
 2009.308_5.3 A0          TRUE        
 2009.349_4.7 A0          TRUE        
 2010.035_5.9 A1          TRUE        
 2010.072_5.0 A0          TRUE        
 2010.127_5.0 A0          TRUE        
 2010.127_5.1 A0          TRUE        
 2010.127_5.5 A0          TRUE        
 2010.133_5.3 A0          TRUE        
 2010.209_5.2 A1          TRUE        
 2010.277_5.3 A0          TRUE        
 2010.286_4.8 A0          TRUE        
 2010.325_5.0 A0          TRUE        
 2011.039_4.8 A0          TRUE        
 2011.039_5.4 A0          TRUE        
 2011.065_5.0 A0          TRUE        
 2011.067_5.1 A0          TRUE        
 2011.142_4.9 A0          TRUE        
 2011.169_5.2 A0          TRUE        
 2011.217_4.8 A1          TRUE        
 2011.244_4.8 A0          TRUE        
 2011.252_6.5 A1          TRUE        
 2011.286_5.6 A0          TRUE        
 2012.035_5.6 A0          TRUE        
 2012.046_5.9 A0          TRUE        
 2012.047_4.9 A0          TRUE        
 2012.102_6.0 A0          TRUE        
 2012.171_5.3 A0          TRUE        
 2012.179_5.1 A0          TRUE        
 2012.188_4.8 A0          TRUE        
 2012.203_5.2 A1          TRUE        
 2012.203_5.4 A1          TRUE        
 2012.221_5.3 A0          TRUE        
 2012.222_4.8 A0          TRUE        
 2012.232_5.0 A0          TRUE        
 2012.232_5.6 A0          TRUE        
 2012.258_4.9 A1          TRUE        
 2012.270_4.8 A1          TRUE        
 2012.277_4.9 A0          TRUE        
 2012.277_5.0 A0          TRUE        
 2012.300_4.7 A0          TRUE        
 2012.313_6.2 A0          TRUE        
 2013.007_4.8 A0          TRUE        
 2013.030_5.4 A0          TRUE        
 2013.058_5.2 A1          TRUE        
 2013.089_4.9 A1          TRUE        
 2013.201_4.8 A1          TRUE        
 2013.216_5.5 A1          TRUE        
 2013.222_4.8 A0          TRUE        
 2013.335_5.5 A0          TRUE        
 2014.069_6.9 A1          TRUE        
 2014.072_5.5 A0          TRUE        
 2004.077_4.7 L1         FALSE        
 2004.167_5.0 S-         FALSE        
 2004.194_4.9 C-         FALSE        
 2004.262_5.4 M-         FALSE        
 2004.272_6.0 L1         FALSE        
 2004.273_5.0 Q-         FALSE        
 2004.273_5.1 L1         FALSE        
 2004.274_4.9 Q-         FALSE        
 2005.077_4.9 S-         FALSE        
 2005.106_5.1 Q-         FALSE        
 2005.163_5.2 Q-         FALSE        
 2005.167_4.9 M-         FALSE        
 2005.243_4.8 M-         FALSE        
 2005.245_5.1 M-         FALSE        
 2006.132_4.8 Q-         FALSE        
 2006.144_5.3 M-         FALSE        
 2007.057_5.4 S-         FALSE        
 2007.176_5.0 S-         FALSE        
 2007.304_5.6 Q-         FALSE        
 2008.019_4.9 Q-         FALSE        
 2008.040_5.1 M-         FALSE        
 2008.042_5.1 M-         FALSE        
 2008.043_5.0 M-         FALSE        
 2008.050_5.1 M-         FALSE        
 2008.051_4.8 M-         FALSE        
 2008.053_4.9 M-         FALSE        
 2008.117_5.0 M-         FALSE        
 2008.121_5.4 Q-         FALSE        
 2008.211_5.5 L1         FALSE        
 2008.300_5.0 S-         FALSE        
 2008.341_5.1 M-         FALSE        
 2009.083_5.0 M-         FALSE        
 2009.219_5.0 S-         FALSE        
 2009.262_5.2 M-         FALSE        
 2009.274_5.1 M-         FALSE        
 2009.276_4.9 M-         FALSE        
 2009.276_5.2 M-         FALSE        
 2009.364_5.9 M-         FALSE        
 2010.010_6.5 S-         FALSE        
 2010.094_7.2 M-         FALSE        
 2010.095_5.0 M-         FALSE        
 2010.095_5.1 M-         FALSE        
 2010.098_5.4 M-         FALSE        
 2010.105_4.9 M-         FALSE        
 2010.128_4.9 M-         FALSE        
 2010.128_5.0 M-         FALSE        
 2010.142_5.1 M-         FALSE        
 2010.166_5.8 M-         FALSE        
 2010.188_5.5 Q-         FALSE        
 2010.257_5.0 M-         FALSE        
 2010.263_4.9 M-         FALSE        
 2010.345_4.8 M-         FALSE        
 2011.049_5.2 M-         FALSE        
 2011.107_4.8 M-         FALSE        
 2011.239_4.8 L1         FALSE        
 2011.300_4.9 M-         FALSE        
 2012.044_5.6 Q-         FALSE        
 2012.183_4.8 M-         FALSE        
 2012.239_5.4 M-         FALSE        
 2012.239_5.5 M-         FALSE        
 2012.295_5.4 Q-         FALSE        
 2013.044_5.3 M-         FALSE        
 2013.144_5.7 M-         FALSE        
 2013.149_4.9 T-         FALSE        
 2013.284_5.2 S-         FALSE        
