#  
# Join of  'bsm_station_times.txt'  and  'earthquakes.txt'
#
 year mo dy hr mi sec sta4 sta16            geodkm jday eqnum nlat  elon    depkm Mw  eqid        
 2004  1 25 15 12 29  B001 golbeck01bwa2005 367.79 025    1   49.05 -127.88 12.0  5.4 2004.025_5.4
 2004  7 12 16 45  4  B001 golbeck01bwa2005 433.24 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004  7 15 12  6 54  B001 golbeck01bwa2005 337.13 197    5   49.48 -127.17 18.7  5.7 2004.197_5.7
 2004  7 19  8  1 52  B001 golbeck01bwa2005 344.81 201    6   49.60 -127.19 24.8  6.3 2004.201_6.3
 2004 11  2 10  2 16  B001 golbeck01bwa2005 459.27 307   14   49.17 -129.13 19.0  6.6 2004.307_6.6
 2004 11  2 14  3 42  B001 golbeck01bwa2005 473.34 307   15   49.01 -129.38 19.7  5.0 2004.307_5.0
 2004 11  2 17 23 44  B001 golbeck01bwa2005 450.67 307   16   49.29 -128.96 16.8  5.2 2004.307_5.2
 2004 11  2  9 30 47  B001 golbeck01bwa2005 454.95 307   13   49.14 -129.08 17.9  5.1 2004.307_5.1
 2005  2 28 12 49 26  B001 golbeck01bwa2005 454.86 059   18   48.08 -129.24 12.0  5.0 2005.059_5.0
 2005  2 28 13 50 26  B001 golbeck01bwa2005 450.44 059   19   48.07 -129.18 12.0  4.9 2005.059_4.9
 2005  3  1  0 32 27  B001 golbeck01bwa2005 446.55 060   20   48.13 -129.13 12.0  5.0 2005.060_5.0
 2005  3  1 21 34 30  B001 golbeck01bwa2005 455.64 060   21   48.07 -129.25 12.0  5.0 2005.060_5.0
 2005 11 19 12 40  6  B001 golbeck01bwa2005 429.53 323   33   48.52 -128.88 16.0  5.3 2005.323_5.3
 2008  4 27 21 18  4  B001 golbeck01bwa2005 435.56 118   74   48.66 -128.94 20.8  5.2 2008.118_5.2
 2008  8 25 22 24 57  B001 golbeck01bwa2005 449.24 238   88   48.70 -129.12 23.0  5.1 2008.238_5.1
 2008  9 11 23 13 34  B001 golbeck01bwa2005 446.77 255   89   47.45 -129.03 12.0  5.1 2008.255_5.1
 2008  9 11 23 26 28  B001 golbeck01bwa2005 447.31 255   90   47.46 -129.04 12.0  5.2 2008.255_5.2
 2008 12 25  8 11 60  B001 golbeck01bwa2005 446.02 360   95   48.78 -129.06 12.0  5.8 2008.360_5.8
 2010 10  4 14 51 60  B001 golbeck01bwa2005 481.98 277  129   49.08 -129.48 16.1  5.3 2010.277_5.3
 2011  9  9 19 41 36  B001 golbeck01bwa2005 327.58 252  145   49.27 -127.17 25.1  6.5 2011.252_6.5
 2012  2  4 20  5 32  B001 golbeck01bwa2005 379.41 035  148   48.66 -128.17 12.0  5.6 2012.035_5.6
 2012  2 16  6 37 32  B001 golbeck01bwa2005 379.15 047  151   48.80 -128.13 14.3  4.9 2012.047_4.9
