# 
# Barbour and Crowell (2016)
# Dynamic strains at PBO borehole strainmeters
# 
# 	'Station'	station identifier
# 	'Earthquake'	earthquake identifier
# 	'Mw'		moment magnitude
# 	'D.km'		hypocentral distance in km
# 	'logE'		log10 peak rms strain
#  
 Station Earthquake   Mw  D.km   logE     
 B934    2010.010_6.5 6.5 123.28 -4.569465
 B086    2010.094_7.2 7.2 175.13 -4.773675
 B088    2010.094_7.2 7.2 165.44 -4.816785
 B082    2010.094_7.2 7.2 182.38 -4.858608
 B089    2010.094_7.2 7.2 182.54 -4.899385
 B087    2010.094_7.2 7.2 174.05 -4.945976
 B081    2010.094_7.2 7.2 198.96 -4.949429
 B089    2010.188_5.5 5.5  33.97 -5.002847
 B086    2010.188_5.5 5.5  30.33 -5.005723
 B082    2010.188_5.5 5.5  33.86 -5.036949
 B084    2010.094_7.2 7.2 175.83 -5.054419
 B093    2010.094_7.2 7.2 192.08 -5.086535
 B088    2010.188_5.5 5.5  27.76 -5.220459
 B087    2010.188_5.5 5.5  28.29 -5.221919
 B045    2014.069_6.9 6.9 114.24 -5.322393
 B933    2010.010_6.5 6.5  90.47 -5.366705
 B081    2010.188_5.5 5.5  46.08 -5.405289
 B045    2010.035_5.9 5.9  93.98 -5.462268
 B917    2010.094_7.2 7.2 382.65 -5.486411
 B918    2010.094_7.2 7.2 450.64 -5.500945
 B916    2010.094_7.2 7.2 478.75 -5.501819
 B093    2010.188_5.5 5.5  40.13 -5.591458
 B084    2010.188_5.5 5.5  34.15 -5.591672
 B073    2012.295_5.4 5.4  53.46 -5.657480
 B933    2014.069_6.9 6.9 136.85 -5.692094
 B076    2012.295_5.4 5.4  56.98 -5.717837
 B934    2014.069_6.9 6.9 170.12 -5.728922
 B935    2010.010_6.5 6.5 106.67 -5.734354
 B040    2014.069_6.9 6.9 263.24 -5.736840
 B012    2011.252_6.5 6.5 127.20 -5.755822
 B935    2014.069_6.9 6.9 146.83 -5.768886
 B933    2010.035_5.9 5.9 102.24 -5.842762
 B039    2014.069_6.9 6.9 243.88 -5.856649
 B072    2012.295_5.4 5.4  70.21 -5.857533
 B078    2012.295_5.4 5.4  69.68 -5.863934
 B927    2011.252_6.5 6.5 173.11 -5.867348
 B030    2014.069_6.9 6.9 406.81 -5.867615
 B075    2012.295_5.4 5.4  52.17 -5.894722
 B032    2014.069_6.9 6.9 353.38 -5.941491
 B088    2010.166_5.8 5.8 100.34 -5.943085
 B010    2011.252_6.5 6.5 281.42 -5.952012
 B086    2010.166_5.8 5.8 112.90 -5.963179
