sta4 year mo dy hr mi sec geodkm
B001 2004 1 25 15 12 29 367.79
B003 2004 1 25 15 12 29 296.98
B004 2004 1 25 15 12 29 271.42
B005 2004 1 25 15 12 29 341.16
B006 2004 1 25 15 12 29 341.36
B007 2004 1 25 15 12 29 341.18
B009 2004 1 25 15 12 29 327.92
B010 2004 1 25 15 12 29 327.88
B011 2004 1 25 15 12 29 328.12
B012 2004 1 25 15 12 29 171.93
B013 2004 1 25 15 12 29 392.28
B014 2004 1 25 15 12 29 346.66
B017 2004 1 25 15 12 29 394.77
B018 2004 1 25 15 12 29 429.03
B019 2004 1 25 15 12 29 413.34
B020 2004 1 25 15 12 29 423.42
B022 2004 1 25 15 12 29 454.43
B023 2004 1 25 15 12 29 486.46
B024 2004 1 25 15 12 29 485.62
B926 2004 1 25 15 12 29 275.81
B927 2004 1 25 15 12 29 224.59
B928 2004 1 25 15 12 29 202.71
B941 2004 1 25 15 12 29 480.01
B943 2004 1 25 15 12 29 392.23
B054 2004 3 17 23 53 14 216.89
B057 2004 3 17 23 53 14 246.67
B058 2004 3 17 23 53 14 88.61
B065 2004 3 17 23 53 14 80.90
B066 2004 3 17 23 53 14 95.04
B067 2004 3 17 23 53 14 84.61
B072 2004 3 17 23 53 14 94.08
B073 2004 3 17 23 53 14 80.65
B075 2004 3 17 23 53 14 77.07
B076 2004 3 17 23 53 14 84.87
B078 2004 3 17 23 53 14 93.88
B079 2004 3 17 23 53 14 109.67
B081 2004 3 17 23 53 14 495.37
B093 2004 3 17 23 53 14 498.66
B900 2004 3 17 23 53 14 127.98
B901 2004 3 17 23 53 14 116.00
B916 2004 3 17 23 53 14 331.93
B917 2004 3 17 23 53 14 376.82
B918 2004 3 17 23 53 14 338.10
B921 2004 3 17 23 53 14 354.66
B934 2004 3 17 23 53 14 470.34
B072 2004 6 15 22 28 52 436.32
B073 2004 6 15 22 28 52 453.23
B075 2004 6 15 22 28 52 453.69
B076 2004 6 15 22 28 52 450.35
B078 2004 6 15 22 28 52 436.96
B079 2004 6 15 22 28 52 418.89
B081 2004 6 15 22 28 52 179.90
B082 2004 6 15 22 28 52 177.87
B084 2004 6 15 22 28 52 188.16
B086 2004 6 15 22 28 52 179.04
B087 2004 6 15 22 28 52 169.50
B088 2004 6 15 22 28 52 159.48
B089 2004 6 15 22 28 52 178.00
B093 2004 6 15 22 28 52 166.98
B900 2004 6 15 22 28 52 406.91
B901 2004 6 15 22 28 52 413.47
B916 2004 6 15 22 28 52 415.62
B917 2004 6 15 22 28 52 331.64
B918 2004 6 15 22 28 52 387.59
B921 2004 6 15 22 28 52 350.34
B001 2004 7 12 16 45 4 433.24
B003 2004 7 12 16 45 4 420.27
B004 2004 7 12 16 45 4 433.97
B005 2004 7 12 16 45 4 427.88
B006 2004 7 12 16 45 4 427.84
B007 2004 7 12 16 45 4 427.65
B009 2004 7 12 16 45 4 492.46
B010 2004 7 12 16 45 4 492.62
B011 2004 7 12 16 45 4 492.60
B013 2004 7 12 16 45 4 414.29
B014 2004 7 12 16 45 4 363.81
B017 2004 7 12 16 45 4 312.93
B018 2004 7 12 16 45 4 325.69
B019 2004 7 12 16 45 4 274.53
B020 2004 7 12 16 45 4 241.64
B022 2004 7 12 16 45 4 194.54
B023 2004 7 12 16 45 4 239.08
B024 2004 7 12 16 45 4 164.19
B026 2004 7 12 16 45 4 133.64
B027 2004 7 12 16 45 4 142.18
B028 2004 7 12 16 45 4 141.98
B030 2004 7 12 16 45 4 160.38
B031 2004 7 12 16 45 4 128.31
B032 2004 7 12 16 45 4 128.29
B033 2004 7 12 16 45 4 170.74
B035 2004 7 12 16 45 4 227.23
B036 2004 7 12 16 45 4 227.06
B039 2004 7 12 16 45 4 363.45
B040 2004 7 12 16 45 4 331.79
