eqnum	year	mo	dy	hr	mi	sec	nlat	elon	depkm	Mw
1	2004	1	25	15	12	28.6	49.05	-127.88	12.0	5.4
2	2004	3	17	23	53	13.9	36.03	-121.35	12.0	4.7
3	2004	6	15	22	28	52.4	32.45	-117.92	12.0	5.0
4	2004	7	12	16	45	3.7	44.30	-124.71	20.0	4.9
5	2004	7	15	12	6	54.0	49.48	-127.17	18.7	5.7
6	2004	7	19	8	1	51.5	49.60	-127.19	24.8	6.3
7	2004	9	18	23	2	20.8	38.02	-118.69	12.0	5.4
8	2004	9	18	23	43	44.2	38.02	-118.70	12.0	5.4
9	2004	9	28	17	15	31.2	35.92	-120.54	12.0	6.0
10	2004	9	29	17	10	8.3	36.00	-120.54	12.0	5.1
11	2004	9	29	22	54	56.6	35.41	-118.73	12.0	5.0
12	2004	9	30	18	54	32.4	36.02	-120.57	12.0	4.9
13	2004	11	2	9	30	47.1	49.14	-129.08	17.9	5.1
14	2004	11	2	10	2	16.5	49.17	-129.13	19.0	6.6
15	2004	11	2	14	3	42.2	49.01	-129.38	19.7	5.0
16	2004	11	2	17	23	43.9	49.29	-128.96	16.8	5.2
17	2004	12	22	20	47	27.3	42.40	-127.03	12.0	5.1
18	2005	2	28	12	49	26.1	48.08	-129.24	12.0	5.0
19	2005	2	28	13	50	25.9	48.07	-129.18	12.0	4.9
20	2005	3	1	0	32	26.9	48.13	-129.13	12.0	5.0
21	2005	3	1	21	34	30.0	48.07	-129.25	12.0	5.0
22	2005	3	7	2	34	35.2	42.51	-126.78	16.2	5.3
23	2005	3	7	2	48	21.6	42.49	-126.79	15.9	5.2
24	2005	3	18	7	24	2.4	40.40	-124.86	21.6	4.9
25	2005	4	16	19	18	22.5	35.03	-119.18	12.0	5.1
26	2005	6	12	15	41	50.7	33.63	-116.59	14.0	5.2
27	2005	6	15	2	51	5.4	41.15	-126.42	20.4	7.2
28	2005	6	16	20	53	29.6	34.09	-116.99	12.0	4.9
29	2005	6	17	6	21	45.2	40.64	-126.76	16.2	6.6
30	2005	6	19	9	27	21.0	40.45	-126.71	15.5	4.9
31	2005	8	31	22	50	22.6	32.92	-115.65	12.0	4.8
32	2005	9	2	1	27	23.5	33.23	-115.52	12.0	5.1
33	2005	11	19	12	40	6.3	48.52	-128.88	16.0	5.3
34	2006	1	11	10	2	34.8	43.33	-127.41	17.9	5.5
35	2006	3	22	5	42	2.4	40.76	-126.66	12.9	5.0
36	2006	3	25	3	16	7.0	41.82	-126.30	15.7	5.1
37	2006	3	25	20	14	5.4	41.73	-126.30	16.1	5.0
38	2006	5	12	10	37	32.5	38.80	-122.85	13.6	4.8
39	2006	5	24	4	20	30.0	32.43	-115.28	12.0	5.3
40	2006	5	27	21	50	49.3	43.62	-128.37	16.7	4.9
41	2006	8	31	15	22	19.6	43.81	-128.74	14.2	4.8
42	2006	10	17	20	53	17.9	40.46	-126.29	12.0	4.9
43	2007	1	31	15	24	49.9	42.43	-127.01	16.9	4.8
44	2007	1	31	15	38	35.5	42.60	-126.88	13.8	4.6
45	2007	2	11	15	34	49.3	43.33	-127.73	20.6	5.0
46	2007	2	14	22	12	59.6	43.39	-127.63	12.0	5.2
47	2007	2	26	12	20	0.5	40.63	-124.90	15.9	5.4
48	2007	4	29	0	49	5.9	43.20	-127.21	15.4	4.8
49	2007	5	9	7	50	8.8	40.34	-125.01	19.4	5.4
50	2007	6	25	2	32	28.6	41.08	-124.87	22.5	5.0
51	2007	7	27	1	37	48.3	44.16	-129.85	12.0	5.2
52	2007	7	27	1	45	28.0	44.10	-129.89	17.7	5.3
53	2007	7	27	23	22	50.6	44.25	-129.81	12.0	5.3
54	2007	10	10	0	15	15.4	43.43	-128.03	17.7	5.0
55	2007	10	31	3	4	59.3	37.37	-121.78	13.9	5.6
56	2007	11	19	20	32	49.8	43.35	-127.74	19.0	5.8
57	2007	11	19	22	43	2.9	43.42	-127.93	19.3	5.0
58	2007	12	11	19	17	25.1	40.50	-126.28	21.5	4.9
59	2008	1	10	1	37	23.6	43.51	-128.27	16.8	6.3
60	2008	1	19	23	13	10.1	40.24	-122.69	20.5	4.9
61	2008	2	9	7	12	9.3	32.56	-115.37	12.0	5.1
62	2008	2	11	18	29	35.0	32.46	-115.28	12.0	5.1
63	2008	2	12	4	32	41.1	32.48	-115.34	12.4	5.0
64	2008	2	19	22	41	30.9	32.41	-115.37	12.0	5.1
65	2008	2	20	1	28	57.0	32.45	-115.33	16.6	4.8
66	2008	2	21	14	16	10.0	41.16	-114.85	13.5	6.0
67	2008	2	22	19	31	20.1	32.45	-115.24	12.1	4.9
